,Unnamed: 0,imdb_id,profit,Actors,Director,Genre,IMDB Rating,IMDB Votes,Production,Rated,Year,imdbID
107,530,tt0075213,8091910,"John Wayne, Lauren Bacall, Ron Howard, James Stewart",Don Siegel,"Drama, Romance, Western",7.7,"18,428",Paramount Home Video,PG,1976,tt0075213
108,531,tt0074285,32000000,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt",Brian De Palma,Horror,7.4,"136,932",United Artists,R,1976,tt0074285
109,533,tt0075860,283788635,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon",Steven Spielberg,"Drama, Sci-Fi",7.7,"152,788",Sony Pictures Releasing,PG,1977,tt0075860
110,538,tt0081505,25017374,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",Stanley Kubrick,"Drama, Horror",8.4,"684,983",Warner Bros. Pictures,R,1980,tt0081505
111,539,tt0083908,6110000,"Peter Ustinov, Colin Blakely, Jane Birkin, Nicholas Clay",Guy Hamilton,"Drama, Mystery",7.0,"10,125",Universal Pictures,PG,1982,tt0083908
112,543,tt0082096,71000000,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch",Wolfgang Petersen,"Adventure, Drama, Thriller",8.4,"184,463",Columbia Pictures,R,1981,tt0082096
113,545,tt0084827,16000000,"Jeff Bridges, Bruce Boxleitner, David Warner, Cindy Morgan",Steven Lisberger,"Action, Adventure, Sci-Fi",6.8,"99,720",Buena Vista Pictures,PG,1982,tt0084827
114,546,tt0083929,22592880,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus",Amy Heckerling,"Comedy, Drama",7.2,"77,900",Universal Pictures,R,1982,tt0083929
115,547,tt0085154,17233166,"Tom Cruise, Craig T. Nelson, Lea Thompson, Charles Cioffi",Michael Chapman,"Drama, Romance, Sport",5.9,"13,160",Twentieth Century Fox Home Entertainment,R,1983,tt0085154
116,548,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
117,549,tt0088258,2236202,"Rob Reiner, Kimberly Stringer, Chazz Dominguez, Shari Hall",Rob Reiner,"Comedy, Music",8.0,N/A,MGM,R,1984,tt0088258
118,551,tt0086960,301360478,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher",Martin Brest,"Action, Comedy, Crime",7.3,"136,965",Paramount Pictures,R,1984,tt0086960
119,555,tt0090735,6637565,"Tommy Lee Jones, Linda Hamilton, Robert Vaughn, Richard Jaeckel",Harley Cokeliss,"Action, Thriller",5.4,"4,058",Starmaker Entertainment,R,1986,tt0090735
120,556,tt0091042,64136369,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones",John Hughes,Comedy,7.8,"265,540",Paramount Pictures,PG-13,1986,tt0091042
121,557,tt0092005,44287414,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell",Rob Reiner,"Adventure, Drama",8.1,"300,924",MCA Universal Home Video,R,1986,tt0092005
122,559,tt0093409,105207127,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan",Richard Donner,"Action, Crime, Thriller",7.6,"205,018",Warner Bros. Pictures,R,1987,tt0093409
123,560,tt0073195,463654000,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",Steven Spielberg,"Adventure, Drama, Thriller",8.0,"457,557",Universal Pictures,PG,1975,tt0073195
124,562,tt0074539,11234220,"Georges Atlas, Jacques Balutin, Angelo Bardi, Jacques Ciron",Peyo,"Animation, Comedy, Family",6.1,956,N/A,G,1976,tt0074539
125,567,tt0080339,79953539,"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty","Jim Abrahams, David Zucker, Jerry Zucker",Comedy,7.8,"174,191",Paramount Pictures,PG,1980,tt0080339
126,572,tt0083866,782465326,"Dee Wallace, Henry Thomas, Peter Coyote, Robert MacNaughton",Steven Spielberg,"Family, Sci-Fi",7.9,"307,192",Universal Pictures,PG,1982,tt0083866
127,574,tt0084237,6455530,"Alan Arkin, Jeff Bridges, Mia Farrow, Tammy Grimes","Jules Bass, Arthur Rankin Jr.","Animation, Adventure, Drama",7.5,"20,600",Jensen Farley Pictures,G,1982,tt0084237
128,577,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
129,586,tt0083907,29050000,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor, Betsy Baker",Sam Raimi,Horror,7.5,"154,971",New Line Cinema,NC-17,1981,tt0083907
130,587,tt0082694,22600832,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps",George Miller,"Action, Adventure, Sci-Fi",7.6,"143,776",Warner Bros. Pictures,R,1981,tt0082694
131,588,tt0084434,129795554,"Richard Gere, Debra Winger, David Keith, Robert Loggia",Taylor Hackford,"Drama, Romance",7.0,"40,764",Paramount Pictures,R,1982,tt0084434
132,589,tt0086066,23697647,"C. Thomas Howell, Matt Dillon, Ralph Macchio, Patrick Swayze",Francis Ford Coppola,"Crime, Drama",7.2,"61,971",Warner Bros. Pictures,PG,1983,tt0086066
133,593,tt0089907,10237000,"Clu Gulager, James Karen, Don Calfa, Thom Mathews",Dan O'Bannon,"Comedy, Horror",7.3,"43,550",HBO Video,R,1985,tt0089907
