,budget,imdb_id,revenue
83,200000000,tt1228705,623933331
84,28000000,tt1250777,96188903
85,13000000,tt0947798,327803731
86,40000000,tt1285016,224920315
87,80000000,tt1130884,294804195
88,100000000,tt1243957,278731369
89,165000000,tt0892769,494878759
90,125000000,tt0800320,232713139
91,110000000,tt0429493,177238796
92,37000000,tt0840361,154026136
93,8000000,tt1282140,74952305
94,260000000,tt0398286,591794936
95,150000000,tt0473075,335154643
96,20000000,tt1477076,136150434
97,170000000,tt1104001,400062763
98,150000000,tt0800369,449326618
99,93000000,tt1318514,482860185
100,380000000,tt1298650,1045713802
101,110000000,tt1324999,712171856
102,15000000,tt0780504,78054825
103,125000000,tt1201607,1342000000
104,140000000,tt0458339,370569774
105,13000000,tt1675434,426480871
106,60000000,tt1598778,137551594
107,200000000,tt1216475,559852396
108,32000000,tt0945513,147332697
109,50000000,tt1650062,260095987
110,90000000,tt1568346,232617430
111,200000000,tt1133985,219851172
112,125000000,tt1515091,334615000
113,50000000,tt1210166,110206216
114,82000000,tt0978764,89792502
115,80000000,tt1411697,254455986
116,40000000,tt1637688,173930596
117,220000000,tt0848228,1519557910
118,250000000,tt1345836,1084939099
119,215000000,tt0948470,752215857
120,250000000,tt0903624,1021103568
121,130000000,tt1446714,403170142
122,120000000,tt1673434,829000000
123,100000000,tt1853728,425368238
124,185000000,tt1217209,538983207
125,130000000,tt1194173,276572938
126,200000000,tt1074638,1108561013
127,79000000,tt1397514,355692760
128,225000000,tt1409024,624026776
129,25000000,tt1524137,63100000
130,170000000,tt1735898,396600000
131,95000000,tt1667889,877244782
132,50000000,tt1637725,549368315
133,100000000,tt1764651,312573423
134,85000000,tt0837562,358375603
135,70000000,tt1496025,160112671
136,120000000,tt0454876,609016565
137,170000000,tt1981115,644571402
138,150000000,tt2294629,1274219009
139,250000000,tt1170358,958400000
140,130000000,tt1951264,847423452
141,76000000,tt1690953,970761885
142,225000000,tt0770828,662845518
143,75000000,tt1670345,117698894
144,100000000,tt0993846,392000694
145,200000000,tt1300854,1215439994
146,13000000,tt1457767,318000141
147,105000000,tt1454468,716392705
148,40000000,tt1800241,251171807
149,105000000,tt1343092,351040419
150,120000000,tt1483013,286168572
151,200000000,tt1453405,743559607
152,46000000,tt1392214,122126687
153,20000000,tt2024544,187000000
154,165000000,tt2245084,652105443
155,20000000,tt2911666,88761661
156,61000000,tt2267998,369330363
157,125000000,tt1951265,752100229
158,170000000,tt2103281,710644566
159,3300000,tt2582802,13092000
160,170000000,tt2015381,773328629
161,165000000,tt0816692,675120017
162,250000000,tt2310332,956019788
163,14000000,tt2084970,233555708
164,34000000,tt1790864,348319861
165,68000000,tt2713180,211817906
166,18000000,tt2562232,103215094
167,125000000,tt1291150,477200000
168,40000000,tt2872732,126546825
169,180000000,tt1587310,758539785
170,132000000,tt1911658,373552094
171,210000000,tt2109248,1091405097
172,8500000,tt2872718,38697217
173,74000000,tt2293640,1156730962
174,155000000,tt1340138,440603537
175,49000000,tt1823672,104399548
176,110000000,tt2126355,470490832
177,280000000,tt2395427,1405403694
178,245000000,tt2488496,2068223624
179,108000000,tt3659388,630161890
180,110000000,tt2908446,295238201
181,88000000,tt2120120,243637091
182,40000000,tt2322441,571006128
183,150000000,tt0369610,1513528810
184,175000000,tt2096673,857611174
185,160000000,tt1951266,653428261
186,190000000,tt1964418,209154322
187,81000000,tt2802144,414351546
188,176000003,tt1617661,183987723
189,26000000,tt2140379,30523226
190,245000000,tt2379713,880674609
191,95000000,tt1661199,543514353
192,130000000,tt0478970,519311965
193,58000000,tt1431045,783112979
194,250000000,tt2975590,873260194
195,250000000,tt3498820,1153304495
196,47000000,tt2543164,203388186
197,165000000,tt1211837,677718395
198,180000000,tt3183660,809342332
199,9000000,tt4972582,278304578
200,150000000,tt2948356,1023784195
201,200000000,tt3748528,1056057273
202,30000000,tt3783958,445435700
203,40000000,tt2119532,175302354
204,178000000,tt3385516,543934787
205,175000000,tt1386697,745600054
206,110000000,tt1355644,303144152
207,110000000,tt3410834,179246868
208,110000000,tt1935859,296485719
209,20000000,tt2674426,207945075
210,85000000,tt0343737,59908565
211,45000000,tt0454848,184376254
212,75000000,tt0385880,140175006
213,25000000,tt0414982,117719158
214,85000000,tt0413895,144000000
215,12000000,tt0479884,42931041
