,imdb_id,profit
2911,tt0456980,862
2927,tt0366548,284335608
2941,tt0858486,2101046
2946,tt0796302,44852
2947,tt1179904,193340800
2968,tt0411477,75388063
2973,tt1178640,666045
2979,tt1259998,3800000
3022,tt1767382,11101672
3039,tt1683526,72689
3040,tt2150209,6086224
3043,tt1410063,1311434
3045,tt1568911,111584879
3053,tt1907707,134634
3062,tt1179034,826594
3065,tt1196141,60700498
3070,tt1346629,101186
3081,tt0295721,50997208
3085,tt0317676,6818181
3088,tt0251736,9829545
3091,tt0306841,38534455
3102,tt0372183,213500217
3107,tt0369702,25729221
3113,tt0390384,417760
3114,tt0338348,140875730
3116,tt0317705,539442092
3121,tt0380268,163000
3134,tt0444182,8463701
3152,tt0453548,414404
3153,tt0845046,2870249
3159,tt0780607,199905
3160,tt0955411,952820
3167,tt0825232,130372502
3173,tt0834961,2227
3187,tt1176251,165888
3190,tt1007028,18105111
3191,tt1046163,16620508
3197,tt1172570,2030712
3216,tt1032825,72000000
3231,tt1398949,99303
3232,tt0892769,329878759
3237,tt1196141,60700498
3243,tt0491152,24901913
3283,tt0398286,331794936
3285,tt1411238,122780440
3291,tt1640484,31110610
3296,tt1216475,359852396
3298,tt1934231,13945000
3300,tt0338459,159011982
3307,tt0378867,29452
3309,tt0315459,18928
3310,tt0377834,12212123
3316,tt0324216,97571655
3323,tt0339291,69073645
3336,tt0478213,401
3344,tt0758742,7793200
3347,tt0814075,201275
3354,tt0808506,3800000
3371,tt1038988,28948000
3374,tt0393597,94000000
3375,tt0828065,37895
3382,tt0463872,35649600
3385,tt0862846,11174377
3392,tt1139797,6785801
3409,tt0397892,159979994
3417,tt1205489,236958228
3438,tt1234554,1688518
3464,tt2008006,2802459
3471,tt1720616,12186625
3472,tt1853614,6748712
3473,tt1715873,201146
3487,tt2391821,2
3503,tt1853614,6748712
3504,tt1715873,201146
3507,tt2070649,29300000
3533,tt0375679,91910061
3534,tt0333766,24281723
3559,tt0401792,118733820
3560,tt0482930,8685526
3561,tt0495596,46000000
3568,tt0462590,102194847
3569,tt0468489,4211725
3571,tt0822389,7778177
3572,tt0443543,46915017
3574,tt0384793,15505009
3587,tt0386032,15538513
3595,tt0488478,3537453
3602,tt0809504,22707064
3606,tt0997047,68397662
3607,tt0942903,1900000
3615,tt0449570,250000
3620,tt1220719,10173020
3629,tt0843358,246574
3646,tt1172998,857000
3648,tt0499549,2550965087
3650,tt1057500,62233971
3652,tt1231580,368140005
3663,tt1334553,14870
3674,tt1740047,951179
3677,tt1441912,4430765
3678,tt1664894,6467348
3702,tt1212450,27676580
3704,tt2101441,26724284
3706,tt1840417,7231461
3707,tt1932718,1065881
3713,tt1872818,327345
3714,tt2094877,11384015
3716,tt1764234,22930465
3718,tt2215395,29494
3720,tt0401729,24139100
3752,tt0347246,9789651
3772,tt0403217,1928985
3779,tt0424774,19425966
3785,tt0477392,251775
3787,tt0460791,3669465
3789,tt0779982,4947717
3794,tt0499603,580527
3799,tt0430779,16627188
3803,tt0816545,83398
3818,tt0440963,372824138
3838,tt1101026,36135878
3848,tt1210042,12536299
3857,tt0327597,64596398
3875,tt1312254,14944
3877,tt0989757,89977104
3890,tt1055292,67610124
3894,tt1341341,22270
3912,tt1229238,549713380
3933,tt1907668,130772375
3943,tt1979319,61700000
3973,tt0388888,127067
3979,tt0364961,3537961
3991,tt0451094,23803308
3996,tt0427954,21165581
4008,tt0473488,516139
4009,tt0386757,2119
4022,tt0838192,1101480
4028,tt0783233,99266061
4032,tt0478134,6541790
4033,tt0373883,65253908
4034,tt0923811,223839
4038,tt0858486,2101046
4048,tt0425637,47473609
4052,tt1087890,179943
4057,tt0876563,145801819
4075,tt1174730,670712
4078,tt1155056,50636986
4081,tt1560139,40
4101,tt0926084,704305868
4108,tt1405500,37000000
4109,tt1638979,26488
4160,tt2113822,311
4179,tt1540741,18642
4183,tt0370986,1524966
4192,tt0374900,45718097
4194,tt0377084,20377075
4198,tt0403358,27800000
4210,tt0121164,77195061
4219,tt0433387,3967038
4221,tt0810827,50710400
4237,tt0926151,291243
4241,tt0857191,9234510
4243,tt0787523,367638
4249,tt0847897,473993
4252,tt1179904,193340800
4256,tt0879843,9523313
4272,tt0364970,2108608
4276,tt0887912,27000000
4301,tt1226753,25636368
4307,tt1341167,3302314
4309,tt1470024,20666
4316,tt1588337,37424067
4323,tt1120985,13066240
4337,tt1411238,122780440
4354,tt1781840,14836
4367,tt1462900,60216736
4371,tt2388637,1031243
4376,tt2401715,11294
4381,tt0765446,34597643
4391,tt2133234,745000
4392,tt0795461,58378744
4393,tt1817081,4187
