,country,imdb_rating,imdb_votes,language,production,released_on_weekend,released_on_dump_month,runtime,year,budget,revenue,actor_popularity,director_popularity,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,mystery,romance,thriller,other_genre,G,NC-17,PG,PG-13,R,TV-14,TV-MA,TV-PG,UNRATED
102,2,6.2,9.982113872991318,1,149,1,1,128,2006,17.822843743196746,16.06162021560017,25.481755000000003,3.262065,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
103,2,5.4,10.745485679828429,2,102,1,1,98,2008,16.300417207752275,17.846378541654772,16.175848000000002,1.0054215,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
104,1,6.9,11.280249120621802,1,20,1,1,139,2006,18.064005800013632,17.823057029540504,19.053145,2.023607,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,2,8.5,13.781863801411765,2,206,1,0,151,2006,18.31532022829454,19.48486497684859,29.260776,8.662091,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
106,2,7.4,12.620233172005562,2,701,1,1,116,2007,17.72753356339242,18.83939107881055,28.374828000000004,2.97801,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
107,1,5.8,10.854295646435844,1,206,1,1,105,2006,17.622173047734595,18.23193861935549,18.245788,1.001593,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
108,1,5.8,11.23746177645632,2,127,1,0,116,2007,17.909855120186375,18.665716111236538,18.162016,1.6634080000000002,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
109,1,6.4,10.049318000747668,2,127,1,1,112,2006,17.622173047734595,17.46356700193244,12.765322,1.765666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,1,5.6,11.370370626087977,2,206,1,0,98,2006,18.890684373198102,19.017728927173223,13.421183,2.771309,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,3,6.4,9.646270020888167,1,701,0,0,97,2008,15.068273526459642,13.924807017622125,5.116126,1.008891,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
