,Unnamed: 0,budget,imdb_id,revenue,Actors,Country,Director,Genre,IMDB Rating,IMDB Votes,Language,Production,Rated,Released,Runtime,Title,Year,imdbID
26,26,110000000,tt0337978,383531464,"Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q","USA, UK",Len Wiseman,"Action, Adventure, Thriller",7.2,"353,069","English, Italian, French",20th Century Fox,PG-13,27-Jun-07,128 min,Live Free or Die Hard,2007,tt0337978
27,27,258000000,tt0413300,890871626,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church",USA,Sam Raimi,"Action, Adventure",6.2,"418,541","English, French",Sony Pictures,PG-13,4-May-07,139 min,Spider-Man 3,2007,tt0413300
28,28,85000000,tt0461770,340487652,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall",USA,Kevin Lima,"Animation, Comedy, Family",7.1,"153,771",English,Walt Disney Pictures,PG,21-Nov-07,107 min,Enchanted,2007,tt0461770
29,29,130000000,tt0486576,289047763,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis","USA, Germany, UK",Tim Story,"Action, Adventure, Fantasy",5.6,"224,039","English, Japanese, Chinese, Arabic",20th Century Fox,PG,15-Jun-07,92 min,Fantastic 4: Rise of the Silver Surfer,2007,tt0486576
30,30,110000000,tt0259324,228738393,"Matt Long, Raquel Alessi, Brett Cullen, Peter Fonda","USA, Australia",Mark Steven Johnson,"Action, Fantasy, Thriller",5.2,"194,273",English,Sony Pictures,PG-13,16-Feb-07,114 min,Ghost Rider,2007,tt0259324
31,31,65000000,tt0443706,84785914,"Jake Gyllenhaal, Mark Ruffalo, Anthony Edwards, Robert Downey Jr.",USA,David Fincher,"Crime, Drama, History",7.7,"345,836",English,Paramount Pictures,R,2-Mar-07,157 min,Zodiac,2007,tt0443706
32,32,150000000,tt0480249,585349010,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",USA,Francis Lawrence,"Drama, Horror, Sci-Fi",7.2,"582,915",English,Warner Bros. Pictures,PG-13,14-Dec-07,101 min,I Am Legend,2007,tt0480249
33,33,15000000,tt0758758,56255142,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone",USA,Sean Penn,"Adventure, Biography, Drama",8.1,"473,206","English, Danish",Paramount Vantage,R,19-Oct-07,148 min,Into the Wild,2007,tt0758758
34,34,40000000,tt0758730,41797066,"Steven Pasquale, Reiko Aylesworth, John Ortiz, Johnny Lewis",USA,"Colin Strause, Greg Strause","Action, Horror, Sci-Fi",4.7,"100,473",English,20th Century Fox,R,25-Dec-07,94 min,Aliens vs. Predator: Requiem,2007,tt0758730
35,35,75000000,tt0462538,527068851,"Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith",USA,David Silverman,"Animation, Adventure, Comedy",7.4,"274,159",English,20th Century Fox,PG-13,27-Jul-07,87 min,The Simpsons Movie,2007,tt0462538
36,36,20000000,tt0486822,117760134,"Shia LaBeouf, Sarah Roemer, Carrie-Anne Moss, David Morse",USA,D.J. Caruso,"Drama, Mystery, Thriller",6.9,"196,834","English, Spanish",Dreamworks,PG-13,13-Apr-07,105 min,Disturbia,2007,tt0486822
37,37,61000000,tt0822854,95696996,"Mark Wahlberg, Michael Pe?a, Danny Glover, Kate Mara",USA,Antoine Fuqua,"Action, Crime, Drama",7.2,"273,576",English,Paramount Pictures,R,23-Mar-07,124 min,Shooter,2007,tt0822854
38,38,20000000,tt0368794,4001121,"Cate Blanchett, Ben Whishaw, Christian Bale, Richard Gere","Germany, Canada, USA",Todd Haynes,"Biography, Drama, Music",7,"50,791",English,The Weinstein Co.,R,7-Dec-07,135 min,I'm Not There.,2007,tt0368794
39,39,185000000,tt0468569,1004558444,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","USA, UK",Christopher Nolan,"Action, Crime, Drama",9,"1,848,050","English, Mandarin",Warner Bros. Pictures/Legendary,PG-13,18-Jul-08,152 min,The Dark Knight,2008,tt0468569
40,40,37000000,tt1099212,392616625,"Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke",USA,Catherine Hardwicke,"Drama, Fantasy, Romance",5.2,"367,386",English,Summit Entertainment,PG-13,21-Nov-08,122 min,Twilight,2008,tt1099212
41,41,140000000,tt0371746,585174222,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",USA,Jon Favreau,"Action, Adventure, Sci-Fi",7.9,"759,000","English, Persian, Urdu, Arabic, Hungarian",Paramount Pictures,PG-13,2-May-08,126 min,Iron Man,2008,tt0371746
42,42,180000000,tt0910970,521311860,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",USA,Andrew Stanton,"Animation, Adventure, Family",8.4,"804,131",English,Walt Disney Pictures,G,27-Jun-08,98 min,WALL?E,2008,tt0910970
43,43,130000000,tt0441773,631744560,"Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane",USA,"Mark Osborne, John Stevenson","Animation, Action, Adventure",7.6,"340,467",English,Paramount Pictures,PG,6-Jun-08,92 min,Kung Fu Panda,2008,tt0441773
44,44,150000000,tt0421715,333932083,"Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins",USA,David Fincher,"Drama, Fantasy, Romance",7.8,"496,879","English, Russian, French",Paramount,PG-13,25-Dec-08,166 min,The Curious Case of Benjamin Button,2008,tt0421715
45,45,33000000,tt1205489,269958228,"Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her","Germany, USA",Clint Eastwood,Drama,8.2,"612,361","English, Hmong",Warner Bros. Pictures/Village Roadshow,R,9-Jan-09,116 min,Gran Torino,2008,tt1205489
46,46,75000000,tt0493464,258270008,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp","USA, Germany",Timur Bekmambetov,"Action, Crime, Fantasy",6.7,"318,029",English,Universal Pictures,R,27-Jun-08,110 min,Wanted,2008,tt0493464
47,47,200000000,tt0830515,586090727,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench","UK, USA",Marc Forster,"Action, Adventure, Thriller",6.6,"355,118","English, Spanish, Italian, French, Swiss German, German",Sony/MGM,PG-13,14-Nov-08,106 min,Quantum of Solace,2008,tt0830515
48,48,32000000,tt0976051,113019290,"Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet","USA, Germany",Stephen Daldry,"Drama, Romance",7.6,"203,005","English, German, Greek, Latin",The Weinstein Co./MGM,R,30-Jan-09,124 min,The Reader,2008,tt0976051
49,49,45000000,tt0373051,101702060,"Brendan Fraser, Josh Hutcherson, Anita Briem, Seth Meyers",USA,Eric Brevig,"Action, Adventure, Family",5.8,"94,370","English, Icelandic, Italian",Warner Bros. Pictures,PG,11-Jul-08,93 min,Journey to the Center of the Earth,2008,tt0373051
50,50,60000000,tt0494238,57490374,"Brendan Fraser, Sienna Guillory, Eliza Bennett, Richard Strange","Germany, UK, USA",Iain Softley,"Adventure, Family, Fantasy",6.1,"64,499",English,Warner Bros. Pictures/New Line Cinema,PG,23-Jan-09,106 min,Inkheart,2008,tt0494238
51,51,41677699,tt0876563,187479518,"Tomoko Yamaguchi, Kazushige Nagashima, Y?ki Amami, George Tokoro",Japan,"Hayao Miyazaki, John Lasseter, Brad Lewis, Peter Sohn","Animation, Adventure, Comedy",7.7,"94,892",Japanese,Walt Disney Pictures,G,14-Aug-09,101 min,Ponyo,2008,tt0876563
52,52,55000000,tt0814314,168167691,"Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy",USA,Gabriele Muccino,"Drama, Romance",7.7,"250,623","English, Spanish",Sony Pictures,PG-13,19-Dec-08,123 min,Seven Pounds,2008,tt0814314
53,53,150000000,tt0800080,163712074,"Edward Norton, Liv Tyler, Tim Roth, William Hurt",USA,Louis Leterrier,"Action, Adventure, Sci-Fi",6.8,"351,981","English, Portuguese, Spanish",Universal Pictures,PG-13,13-Jun-08,112 min,The Incredible Hulk,2008,tt0800080
54,54,185000000,tt0367882,786636033,"Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf",USA,Steven Spielberg,"Action, Adventure, Fantasy",6.2,"359,982","English, German, Russian",Paramount Pictures,PG-13,22-May-08,122 min,Indiana Jones and the Kingdom of the Crystal Skull,2008,tt0367882
55,55,20000000,tt1023111,41627431,"Sean Faris, Amber Heard, Cam Gigandet, Evan Peters",USA,Jeff Wadlow,"Action, Drama, Sport",6.6,"85,697",English,Summit Entertainment,PG-13,14-Mar-08,110 min,Never Back Down,2008,tt1023111
56,56,225000000,tt0499448,419651413,"Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley","USA, Poland, Slovenia, Czech Republic",Andrew Adamson,"Action, Adventure, Family",6.6,"163,381",English,Walt Disney Pictures,PG,16-May-08,150 min,The Chronicles of Narnia: Prince Caspian,2008,tt0499448
57,57,80000000,tt1059786,178066569,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson, Michael Chiklis","USA, Germany",D.J. Caruso,"Action, Mystery, Thriller",6.6,"158,595",English,Paramount Studios,PG-13,26-Sep-08,118 min,Eagle Eye,2008,tt1059786
58,58,85000000,tt0411477,160388063,"Ron Perlman, Selma Blair, Doug Jones, John Alexander","USA, Germany",Guillermo del Toro,"Action, Adventure, Fantasy",7,"221,737","English, Scottish Gaelic",Universal Pictures,PG-13,11-Jul-08,120 min,Hellboy II: The Golden Army,2008,tt0411477
59,59,237000000,tt0499549,2787965087,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","UK, USA",James Cameron,"Action, Adventure, Fantasy",7.8,"958,369","English, Spanish",20th Century Fox,PG-13,18-Dec-09,162 min,Avatar,2009,tt0499549
60,60,50000000,tt1259571,709827462,"Kristen Stewart, Christina Jastrzembska, Robert Pattinson, Billy Burke",USA,Chris Weitz,"Adventure, Drama, Fantasy",4.6,"232,833","English, Italian",Summit Entertainment,PG-13,20-Nov-09,130 min,The Twilight Saga: New Moon,2009,tt1259571
61,61,175000000,tt1049413,735099082,"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",USA,"Pete Docter, Bob Peterson(co-director)","Animation, Adventure, Comedy",8.3,"747,473",English,Walt Disney Pictures,PG,29-May-09,96 min,Up,2009,tt1049413
62,62,90000000,tt0988045,524028679,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","USA, Germany",Guy Ritchie,"Action, Adventure, Crime",7.6,"513,276","English, French",Warner Bros. Pictures/Village Roadshow,PG-13,25-Dec-09,128 min,Sherlock Holmes,2009,tt0988045
63,63,250000000,tt0417741,933959197,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson","UK, USA",David Yates,"Adventure, Family, Fantasy",7.5,"363,371",English,Warner Bros. Pictures,PG,15-Jul-09,153 min,Harry Potter and the Half-Blood Prince,2009,tt0417741
64,64,70000000,tt0361748,319131050,"Brad Pitt, M?lanie Laurent, Christoph Waltz, Eli Roth","USA, Germany","Quentin Tarantino, Eli Roth","Adventure, Drama, War",8.3,"991,284","English, German, French, Italian",The Weinstein Company,R,21-Aug-09,153 min,Inglourious Basterds,2009,tt0361748
65,65,150000000,tt0808151,356613439,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsg?rd","USA, Italy",Ron Howard,"Mystery, Thriller",6.7,"233,425","English, Italian, Latin, French, Swiss German, German, Chinese, Spanish, Polish",Sony/Columbia Pictures,PG-13,15-May-09,138 min,Angels & Demons,2009,tt0808151
66,66,150000000,tt0796366,385680446,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana","USA, Germany",J.J. Abrams,"Action, Adventure, Sci-Fi",8,"533,446",English,IMAX,PG-13,8-May-09,127 min,Star Trek,2009,tt0796366
67,67,200000000,tt0438488,371353001,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter","USA, Germany, UK, Italy",McG,"Action, Adventure, Drama",6.6,"302,864","English, Italian",Warner Bros. Pictures,PG-13,21-May-09,115 min,Terminator Salvation,2009,tt0438488
68,68,130000000,tt0409459,185258983,"Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley",USA,Zack Snyder,"Action, Drama, Mystery",7.6,"420,928",English,Warner Bros. Pictures,R,6-Mar-09,162 min,Watchmen,2009,tt0409459
69,69,35000000,tt1119646,459270619,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","USA, Germany",Todd Phillips,Comedy,7.8,"625,168",English,Warner Bros. Pictures,R,5-Jun-09,100 min,The Hangover,2009,tt1119646
70,70,90000000,tt1080016,886686817,"Eunice Cho, Karen Disher, Harrison Fahn, Maile Flanagan",USA,"Carlos Saldanha, Mike Thurmeier(co-director)","Animation, Action, Adventure",7,"183,204",English,20th Century Fox/Emerging Pictures,PG,1-Jul-09,94 min,Ice Age: Dawn of the Dinosaurs,2009,tt1080016
71,71,5000000,tt1182345,9760104,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw",UK,Duncan Jones,"Drama, Mystery, Sci-Fi",7.9,"284,753","English, Spanish",Sony Pictures Classics,R,10-Jul-09,97 min,Moon,2009,tt1182345
72,72,30000000,tt1127180,90810892,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao",USA,Sam Raimi,"Horror, Thriller",6.6,"167,472","English, Spanish, Hungarian, Czech",Universal Pictures,PG-13,29-May-09,99 min,Drag Me to Hell,2009,tt1127180
73,73,65000000,tt0380510,93525586,"Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci","USA, UK, New Zealand",Peter Jackson,"Drama, Fantasy, Thriller",6.7,"133,429",English,Paramount Pictures,PG-13,15-Jan-10,135 min,The Lovely Bones,2009,tt0380510
74,74,200000000,tt1190080,769653595,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",USA,Roland Emmerich,"Action, Adventure, Sci-Fi",5.8,"304,264","English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian",Sony Pictures/Columbia,PG-13,13-Nov-09,158 min,2012,2009,tt1190080
75,75,32000000,tt0898367,27635305,"Viggo Mortensen, Kodi Smit-McPhee, Robert Duvall, Guy Pearce",USA,John Hillcoat,"Adventure, Drama",7.3,"191,539",English,The Weinstein Co./Dimension,R,18-Dec-09,111 min,The Road,2009,tt0898367
76,76,150000000,tt1078912,413106170,"Ben Stiller, Amy Adams, Owen Wilson, Hank Azaria","USA, Canada",Shawn Levy,"Adventure, Comedy, Family",5.9,"144,300",English,20th Century Fox,PG,22-May-09,105 min,Night at the Museum: Battle of the Smithsonian,2009,tt1078912
77,77,30000000,tt1136608,210819611,"Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike","South Africa, USA, New Zealand, Canada",Neill Blomkamp,"Sci-Fi, Thriller",8,"568,969","English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho",Sony Pictures/Screen Gems,R,14-Aug-09,112 min,District 9,2009,tt1136608
78,78,160000000,tt1375666,825532764,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","USA, UK",Christopher Nolan,"Action, Adventure, Sci-Fi",8.8,"1,636,262","English, Japanese, French",Warner Bros. Pictures,PG-13,16-Jul-10,148 min,Inception,2010,tt1375666
79,79,69000000,tt1323594,543513985,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews","USA, France","Pierre Coffin, Chris Renaud","Animation, Adventure, Comedy",7.7,"423,535",English,Universal Pictures,PG,9-Jul-10,95 min,Despicable Me,2010,tt1323594
80,80,68000000,tt1325004,698491347,"Xavier Samuel, Kristen Stewart, Robert Pattinson, Billy Burke",USA,David Slade,"Adventure, Drama, Fantasy",4.9,"196,580",English,Summit Entertainment,PG-13,30-Jun-10,124 min,The Twilight Saga: Eclipse,2010,tt1325004
81,81,250000000,tt0926084,954305868,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling","UK, USA",David Yates,"Adventure, Family, Fantasy",7.7,"369,752",English,Warner Bros. Pictures,PG-13,19-Nov-10,146 min,Harry Potter and the Deathly Hallows: Part 1,2010,tt0926084
82,82,200000000,tt1014759,1025491110,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",USA,Tim Burton,"Adventure, Family, Fantasy",6.5,"332,817",English,Walt Disney Pictures,PG,5-Mar-10,108 min,Alice in Wonderland,2010,tt1014759
83,83,200000000,tt1228705,623933331,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",USA,Jon Favreau,"Action, Adventure, Sci-Fi",7,"573,419","English, French, Russian",Paramount Studios,PG-13,7-May-10,124 min,Iron Man 2,2010,tt1228705
84,84,28000000,tt1250777,96188903,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss","UK, USA",Matthew Vaughn,"Action, Comedy",7.7,"466,369",English,Lionsgate,R,16-Apr-10,117 min,Kick-Ass,2010,tt1250777
85,85,13000000,tt0947798,327803731,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",USA,Darren Aronofsky,"Drama, Thriller",8,"596,411","English, French, Italian",Fox Searchlight,R,17-Dec-10,108 min,Black Swan,2010,tt0947798
86,86,40000000,tt1285016,224920315,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",USA,David Fincher,"Biography, Drama",7.7,"522,984","English, French",Columbia Pictures,PG-13,1-Oct-10,120 min,The Social Network,2010,tt1285016
87,87,80000000,tt1130884,294804195,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",USA,Martin Scorsese,"Mystery, Thriller",8.1,"890,958","English, German",Paramount Studios,R,19-Feb-10,138 min,Shutter Island,2010,tt1130884
88,88,100000000,tt1243957,278731369,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton","USA, France, Italy, UK",Florian Henckel von Donnersmarck,"Action, Crime, Romance",6,"191,272","English, French, Italian, Russian, Spanish",Columbia Pictures,PG-13,10-Dec-10,103 min,The Tourist,2010,tt1243957
89,89,165000000,tt0892769,494878759,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",USA,"Dean DeBlois, Chris Sanders","Animation, Adventure, Comedy",8.1,"538,916",English,Paramount/DWA,PG,26-Mar-10,98 min,How to Train Your Dragon,2010,tt0892769
90,90,125000000,tt0800320,232713139,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",USA,Louis Leterrier,"Action, Adventure, Fantasy",5.8,"242,212",English,Warner Bros.,PG-13,2-Apr-10,106 min,Clash of the Titans,2010,tt0800320
91,91,110000000,tt0429493,177238796,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson",USA,Joe Carnahan,"Action, Adventure, Comedy",6.8,"223,323","English, Spanish, French, Swahili, German",20th Century Fox,PG-13,11-Jun-10,117 min,The A-Team,2010,tt0429493
92,92,37000000,tt0840361,154026136,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",USA,Ben Affleck,"Crime, Drama, Thriller",7.6,"301,083",English,Warner Bros. Pictures,R,17-Sep-10,125 min,The Town,2010,tt0840361
93,93,8000000,tt1282140,74952305,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd",USA,Will Gluck,"Comedy, Drama, Romance",7.1,"302,896",English,Sony Pictures/Screen Gems,PG-13,17-Sep-10,92 min,Easy A,2010,tt1282140
94,94,260000000,tt0398286,591794936,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",USA,"Nathan Greno, Byron Howard","Animation, Adventure, Comedy",7.8,"327,681",English,Walt Disney Pictures,PG,24-Nov-10,100 min,Tangled,2010,tt0398286
95,95,150000000,tt0473075,335154643,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",USA,Mike Newell,"Action, Adventure, Fantasy",6.6,"237,802",English,Walt Disney Pictures,PG-13,28-May-10,116 min,Prince of Persia: The Sands of Time,2010,tt0473075
96,96,20000000,tt1477076,136150434,"Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes","Canada, USA",Kevin Greutert,"Horror, Mystery",5.6,"74,529",English,Lionsgate,R,29-Oct-10,90 min,Saw 3D: The Final Chapter,2010,tt1477076
